Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price,Wine ID,Wine Type
1293594,Vinha Maria Teresa,Quinta do Crasto,2015,4.8,255 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,1998,4.8,57 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2017,4.7,246 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2016,4.7,172 ratings,€290,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2013,4.7,661 ratings,€264,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2012,4.7,26 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2011,4.7,890 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2009,4.7,132 ratings,€410,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2007,4.7,435 ratings,€480,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2006,4.7,182 ratings,€350,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2005,4.7,114 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2018,4.6,82 ratings,No average price available,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2003,4.6,121 ratings,€390,1293594,Red
1293594,Vinha Maria Teresa,Quinta do Crasto,2010,4.5,26 ratings,No average price available,1293594,Red
3851590,Mil Reis Grande Reserva Syrah,Herdade da Maroteira,2019,4.8,218 ratings,No average price available,3851590,Red
3851590,Mil Reis Grande Reserva Syrah,Herdade da Maroteira,2013,4.7,440 ratings,No average price available,3851590,Red
6852745,Limited Edition Tinto,Manuel Correia,2015,4.8,165 ratings,No average price available,6852745,Red
6852745,Limited Edition Tinto,Manuel Correia,2014,No average rating available,No ratings available,No average price available,6852745,Red
2495612,Douro Tinto,Legado,2015,4.8,160 ratings,€303,2495612,Red
2495612,Douro Tinto,Legado,2017,4.7,48 ratings,No average price available,2495612,Red
2495612,Douro Tinto,Legado,2016,4.7,101 ratings,No average price available,2495612,Red
2495612,Douro Tinto,Legado,2014,4.7,222 ratings,€352.50,2495612,Red
2495612,Douro Tinto,Legado,2013,4.7,228 ratings,€265.54,2495612,Red
2495612,Douro Tinto,Legado,2012,4.7,346 ratings,€244,2495612,Red
2495612,Douro Tinto,Legado,2011,4.7,332 ratings,€300,2495612,Red
2495612,Douro Tinto,Legado,2010,4.7,346 ratings,€379,2495612,Red
2495612,Douro Tinto,Legado,2009,4.7,284 ratings,€388,2495612,Red
2495612,Douro Tinto,Legado,2008,4.4,34 ratings,No average price available,2495612,Red
1950164,Vinha do Rio Douro Tinto,Quinta Vale D. Maria,2016,4.8,127 ratings,€147.50,1950164,Red
1950164,Vinha do Rio Douro Tinto,Quinta Vale D. Maria,2001,4.8,25 ratings,No average price available,1950164,Red
